question,answer,context_id
"According to the professor, the happiest people are the ones who   _  .",make the best of what they have,25268
Would this diet be considered a fad diet ?,"Yes , the diet is not sustainable .",44611
How might Christians feel if the well was destroyed ?,The Christians would be upset that a religious site was destroyed .,44319
Rothchild might have concluded that ichthyosaurs  _  .,failed to evole an anti-decompression means,6611
"According to the text, in the past poems were   _  .",mainly circulated among poets by oral communication,33306
Why is the narrator expressing such optimism ?,None of the above choices .,49855
The author has new ideas:,After analyzing travel,15214
Who stocked the refrigerator?,"The boys, Craig and Lenny.",13014
"By this passage, the author mainly wants to say   _  .",familiarity can mess up communication,19522
What pitch was the noise that they heard ?,The noise was high and piercing .,2035
What is probably true about Andrea?,She is introverted,18070
What is Greg's specialty?,Guitar,6302
How was the thinkofthechildren.co.uk site received?,not enough information,13202
How many times has the author probably had McDonalds after having it in Europe?,Several times to know that the McDonalds in Europe is the best,49620
What is the reason you would have to convert an attic for living space ?,None of the above choices .,4056
What may my mother and I do next ?,We will make the Yuki Cross outfit .,20409
The function of the passage is   _  .,to describe some of the numerological practices and their purpose,23244
Verne's story is very similar to   _  .,the Apollo II mission,215
What happened after the flare up ?,I had to spend less time walking,26881
Which of the following might be the author's opinion about communication?,Just listen.,35277
What is the main idea of the passage?,The Lascanx caves hold ancient colorful paintings.,4185
Which is NOT true according to the passage?,Communities have not a bit effect on the way to new and high ideal.,37318
The replacement of the aircraft carrier is intended to,strengthen the US-Japan military alliance,13694
Why do they live in the small sized space they do ?,Because they do not have a lot of money .,40482
Why is the populating declining in Japan ?,There is a declining birthrate .,20498
Why would I send him a link to the first blog post ?,The blog has the info I want to share .,42081
What does the blogger probably think about blogs?,not enough information,23435
Reeve made the following contributions to the scientific research except  _  .,winning public respect and admiration by overcoming obstacles,26625
Why was Sartas embarrassed?,The other guards insinuated that he needed sex,37317
What might happen when you 're cooking apricot lamb chops ?,I would heat it in a pan .,39206
Why did their roommates warn them about the bus beforehand ?,The bus was notorious for breaking down .,37863
How did Jenny have the money to pay for her Master's?,Her dead parent's house was sold.,30116
It can be inferred from the passage that   _  .,tourism in Bissel has been greatly developed and improved,51264
What state did the narrator see the concert in ?,New York state,56806
After visiting Disneyland some people   _  .,became seriously ill,51347
Traditional businessmen feel upset because   _  .,growing online sales will cut their share of the market,35667
What's the most important factor considered in the assessment of risk music has to hearing?,The average exposure.,42402
How many questions will be asked in the Semi-Finals?,72,4438
Which part of a website is the text probably chosen from?,Art.,17542
"After examining himself in the mirror, Benedykt:",went to work,34334
"The best title for the passage is ""  _  "".",The origin of moon cakes,22888
Which of the following accidents may NOT happen in homes?,People may be knocked down by cars on the roads.,46285
Why were my father 's eyes wide but empty ?,He was dying .,27420
The writer writes this article mainly to   _  .,tell people how to treat dropouts,38884
"Why do garlic , leeks , and onions cause sickening pains ?",They have properties that cause bloating .,46654
Which of the following is NOT mentioned in the passage?,What time of the day is suitable for taking exercise.,32004
"According to the researchers, a child born in March is likely to become  _  .",a pilot,31817
